CC_CODE,LEC_CODE,TIME_SLOT1,TIME_SLOT2,TIME_SLOT3
GTEC11013,SL013,MO_M1,TU_M2,TU_A1
GTEC11023,SL003,MO_M2,WE_M1,MO_M2
CTEC11052,SL015,MO_A1,MO_M1,TH-A2
ETEC11063,SL001,TU_M1,TH_M2,MO_M1
CSCI11014,SL017,FR_M1,TU_M2,TH-M1
CSCI11023,SL018,MO_M2,MO_A1,TU_A1
GTEC13032,DE001,FR_M2,WE_M1,MO_M2
ETEC21013,SL011,MO_M1,TH_M2,TU_M1
ETEC21053,SL004,TH-M1,TU_M1,TU_M2
CTEC21043,SL013,MO_M2,TH-M1,TH-A1
CSCI21013,SL018,TU_A1,MO_M1,MO_M2
CSCI21023,PB008,MO_A1,FR_M1,TU_A1
ETEC31013,DH001,TU_M1,MO_A1,FR_M2
ETMP31213,SL005,TH-A2,WE_A1,FR_M1
ETIA31423,PB002,WE_A1,MO_M1,FR_M2
ETST31623,SL006,MO_M1,TU_M2,FR_A2
CTEC31013,SL015,FR_A1,TU_A1,MO_M2
CTNT31012,PB005,TH-A1,TH-A1,TH-A2
GANI31022,PB007,MO_M2,MO_M2,FR_M1
CSCI31014,SL018,FR_A2,FR_M2,FR_A1
CSCI31032,VL001,FR_M2,FR_A1,FR_A2
